scenario_day,hour,is_peak_time,zone_type,booth_id,artist_popularity,artist_popularity_score,stage_capacity,expected_stage_crowd,stage_load_ratio,is_night_booth,event_soon,minutes_to_next_event,gps_count_nearby,reservation_count,checked_in_count,available_seats,wait_minutes,remaining_stock,event_count_context,data_source,rule_based_level,target_congestion
1,10,0,STAGE,42,MEDIUM,2,3025,879,0.291,0,0,480,20,3,3,17,18,100,18,HYBRID_SIMULATED,BUSY,BUSY
1,10,0,PUB,0,MEDIUM,2,3025,879,0.291,0,0,480,16,1,0,18,31,57,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,10,0,FOOD,52,MEDIUM,2,3025,879,0.291,0,0,480,18,7,3,5,21,63,18,HYBRID_SIMULATED,BUSY,BUSY
1,10,0,EXPERIENCE,6,MEDIUM,2,3025,879,0.291,0,0,480,32,3,1,16,12,124,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,10,0,GOODS,18,MEDIUM,2,3025,879,0.291,0,0,480,22,1,0,14,4,45,18,HYBRID_SIMULATED,NORMAL,LOW
1,10,0,SAFETY,9,MEDIUM,2,3025,879,0.291,0,0,480,10,0,0,25,3,126,18,HYBRID_SIMULATED,LOW,LOW
1,11,0,STAGE,41,LOW,1,3854,493,0.128,0,0,420,17,3,0,22,20,81,18,HYBRID_SIMULATED,NORMAL,BUSY
1,11,0,PUB,0,LOW,1,3854,493,0.128,0,0,420,26,0,0,23,18,72,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,11,0,FOOD,67,LOW,1,3854,493,0.128,0,0,420,21,7,6,8,26,66,18,HYBRID_SIMULATED,BUSY,BUSY
1,11,0,EXPERIENCE,26,LOW,1,3854,493,0.128,0,0,420,15,2,2,19,7,117,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,11,0,GOODS,43,LOW,1,3854,493,0.128,0,0,420,15,0,0,16,15,69,18,HYBRID_SIMULATED,NORMAL,LOW
1,11,0,SAFETY,19,LOW,1,3854,493,0.128,0,0,420,16,3,2,11,1,83,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,12,0,STAGE,41,LOW,1,3257,686,0.211,0,0,360,19,0,0,13,24,85,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,12,0,PUB,0,LOW,1,3257,686,0.211,0,0,360,20,7,1,7,38,69,18,HYBRID_SIMULATED,BUSY,BUSY
1,12,0,FOOD,74,LOW,1,3257,686,0.211,0,0,360,11,0,0,17,13,75,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,12,0,EXPERIENCE,78,LOW,1,3257,686,0.211,0,0,360,29,4,1,21,22,142,18,HYBRID_SIMULATED,BUSY,NORMAL
1,12,0,GOODS,48,LOW,1,3257,686,0.211,0,0,360,16,4,1,11,14,25,18,HYBRID_SIMULATED,BUSY,BUSY
1,12,0,SAFETY,24,LOW,1,3257,686,0.211,0,0,360,14,4,3,9,9,126,18,HYBRID_SIMULATED,BUSY,NORMAL
1,13,0,STAGE,41,LOW,1,3552,893,0.251,0,0,300,19,0,0,14,29,90,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,13,0,PUB,0,LOW,1,3552,893,0.251,0,0,300,18,0,0,18,23,56,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,13,0,FOOD,77,LOW,1,3552,893,0.251,0,0,300,26,2,0,14,14,62,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,13,0,EXPERIENCE,53,LOW,1,3552,893,0.251,0,0,300,20,0,0,18,9,128,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,13,0,GOODS,70,LOW,1,3552,893,0.251,0,0,300,4,5,4,12,12,49,18,HYBRID_SIMULATED,NORMAL,NORMAL
1,13,0,SAFETY,19,LOW,1,3552,893,0.251,0,0,300,3,2,2,11,7,103,18,HYBRID_SIMULATED,LOW,LOW
1,14,0,STAGE,41,HIGH,3,3453,947,0.274,0,0,240,46,5,4,1,49,84,18,HYBRID_SIMULATED,VERY_BUSY,VERY_BUSY
1,14,0,PUB,0,HIGH,3,3453,947,0.274,0,0,240,23,6,0,9,30,17,18,HYBRID_SIMULATED,BUSY,BUSY
